record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,X,"3,000km",3000,3000,,岐阜県,2023-09,,,,,675000,,,67.5
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,G,"6,000km",6000,6000,,山形県,2026-03,,,,,535000,,,53.5
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,X,"6,000km",6000,6000,,福島県,2025-09,,,,,655000,,,65.5
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,X,"6,000km",6000,6000,,青森県,2021-01,,,,,772000,,,77.2
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,G,"13,000km",13000,13000,,東京都,2025-10,,,,,430000,,,43.0
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,X,"14,000km",14000,14000,,佐賀県,2024-03,,,,,318000,,,31.8
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,G 4WD,"16,000km",16000,16000,,広島県,2023-12,,,,,580000,,,58.0
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,G,"16,000km",16000,16000,,神奈川県,2021-04,,,,,805000,,,80.5
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,X,"18,000km",18000,18000,,静岡県,2024-10,,,,,476000,,,47.6
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,X,"19,000km",19000,19000,,宮崎県,2021-09,,,,,885000,,,88.5
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,X,2万km,20000,20000,,佐賀県,2024-09,,,,,713000,,,71.3
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,X,"21,000km",21000,21000,,福井県,2022-03,,,,,720000,,,72.0
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,X,"22,000km",22000,22000,,静岡県,2023-09,,,,,510000,,,51.0
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,X,"22,000km",22000,22000,,青森県,2022-02,,,,,755000,,,75.5
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,X,"22,000km",22000,22000,,広島県,2022-02,,,,,755000,,,75.5
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,X 4WD,"23,000km",23000,23000,,秋田県,2022-06,,,,,882000,,,88.2
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,X,"23,000km",23000,23000,,埼玉県,2021-11,,,,,923000,,,92.3
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,X,"24,000km",24000,24000,,山口県,2024-10,,,,,702000,,,70.2
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,X,"24,000km",24000,24000,,高知県,2021-07,,,,,795000,,,79.5
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,X 4WD,"25,000km",25000,25000,,大分県,2021-09,,,,,763000,,,76.3
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,X,"25,000km",25000,25000,,秋田県,2021-10,,,,,870000,,,87.0
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,X,"27,000km",27000,27000,,徳島県,2024-10,,,,,560000,,,56.0
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,X,"28,000km",28000,28000,,大分県,2023-09,,,,,359000,,,35.9
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,X,"28,000km",28000,28000,,秋田県,2021-06,,,,,746000,,,74.6
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,X,"28,000km",28000,28000,,東京都,2021-01,,,,,850000,,,85.0
appraisal_record,kurumaerabi_kaitori,9/22037,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22037/,20260416_145526,スズキ,アルトラパンショコラ,suzuki-alto-lapin-chocolat,,2015,2015年式,X,"29,000km",29000,29000,,静岡県,2021-05,,,,,354000,,,35.4
